recordType,unit,creationDate,startDate,endDate,value,day of week (numeric),day of week (string),month
HKQuantityTypeIdentifierStepCount,count,2020-08-30,1598827457,1598827568,20,6,Sunday,8
HKQuantityTypeIdentifierStepCount,count,2020-08-30,1598828064,1598828546,128,6,Sunday,8
HKQuantityTypeIdentifierStepCount,count,2020-08-30,1598828735,1598829328,114,6,Sunday,8
HKQuantityTypeIdentifierStepCount,count,2020-08-30,1598829356,1598829705,116,6,Sunday,8
HKQuantityTypeIdentifierStepCount,count,2020-08-30,1598829973,1598830543,111,6,Sunday,8
HKQuantityTypeIdentifierStepCount,count,2020-08-30,1598830739,1598831337,769,6,Sunday,8
HKQuantityTypeIdentifierStepCount,count,2020-08-30,1598831337,1598831435,147,6,Sunday,8
HKQuantityTypeIdentifierStepCount,count,2020-08-30,1598833836,1598834385,608,6,Sunday,8
HKQuantityTypeIdentifierStepCount,count,2020-08-30,1598834442,1598834989,394,6,Sunday,8
HKQuantityTypeIdentifierStepCount,count,2020-08-30,1598835759,1598835761,16,6,Sunday,8
HKQuantityTypeIdentifierStepCount,count,2020-08-30,1598837093,1598837235,255,6,Sunday,8
HKQuantityTypeIdentifierStepCount,count,2020-08-30,1598838830,1598839421,866,6,Sunday,8
HKQuantityTypeIdentifierStepCount,count,2020-08-30,1598839431,1598839758,76,6,Sunday,8
HKQuantityTypeIdentifierStepCount,count,2020-08-30,1598840042,1598840642,359,6,Sunday,8
HKQuantityTypeIdentifierStepCount,count,2020-08-30,1598840642,1598841104,735,6,Sunday,8
HKQuantityTypeIdentifierStepCount,count,2020-08-30,1598841262,1598841824,657,6,Sunday,8
HKQuantityTypeIdentifierStepCount,count,2020-08-30,1598841928,1598842270,4,6,Sunday,8
HKQuantityTypeIdentifierStepCount,count,2020-08-30,1598851258,1598851813,249,6,Sunday,8
HKQuantityTypeIdentifierStepCount,count,2020-08-30,1598852087,1598852675,513,6,Sunday,8
HKQuantityTypeIdentifierStepCount,count,2020-08-30,1598852688,1598853240,550,6,Sunday,8
HKQuantityTypeIdentifierStepCount,count,2020-08-30,1598853658,1598854234,149,6,Sunday,8
HKQuantityTypeIdentifierStepCount,count,2020-08-30,1598854314,1598854316,8,6,Sunday,8
HKQuantityTypeIdentifierStepCount,count,2020-08-30,1598855229,1598855642,67,6,Sunday,8
HKQuantityTypeIdentifierStepCount,count,2020-08-30,1598856068,1598856271,71,6,Sunday,8
HKQuantityTypeIdentifierStepCount,count,2020-08-31,1598856724,1598857203,98,0,Monday,8
HKQuantityTypeIdentifierStepCount,count,2020-08-31,1598858115,1598858713,57,0,Monday,8
HKQuantityTypeIdentifierStepCount,count,2020-08-31,1598858767,1598859338,205,0,Monday,8
HKQuantityTypeIdentifierStepCount,count,2020-08-31,1598859805,1598859813,14,0,Monday,8
HKQuantityTypeIdentifierStepCount,count,2020-08-31,1598861108,1598861472,139,0,Monday,8
HKQuantityTypeIdentifierStepCount,count,2020-08-31,1598861926,1598862525,77,0,Monday,8
HKQuantityTypeIdentifierStepCount,count,2020-08-31,1598862527,1598863077,40,0,Monday,8
HKQuantityTypeIdentifierStepCount,count,2020-08-31,1598894177,1598894179,16,0,Monday,8
HKQuantityTypeIdentifierStepCount,count,2020-08-31,1598895873,1598896467,181,0,Monday,8
HKQuantityTypeIdentifierStepCount,count,2020-08-31,1598896480,1598896552,22,0,Monday,8
HKQuantityTypeIdentifierStepCount,count,2020-08-31,1598897229,1598897774,187,0,Monday,8
HKQuantityTypeIdentifierStepCount,count,2020-08-31,1598898298,1598898883,117,0,Monday,8
HKQuantityTypeIdentifierStepCount,count,2020-08-31,1598898901,1598899076,34,0,Monday,8
HKQuantityTypeIdentifierStepCount,count,2020-08-31,1598899841,1598900385,168,0,Monday,8
HKQuantityTypeIdentifierStepCount,count,2020-08-31,1598900465,1598900982,178,0,Monday,8
HKQuantityTypeIdentifierStepCount,count,2020-08-31,1598901229,1598901232,10,0,Monday,8
HKQuantityTypeIdentifierStepCount,count,2020-08-31,1598902160,1598902264,72,0,Monday,8
HKQuantityTypeIdentifierStepCount,count,2020-08-31,1598903985,1598904578,36,0,Monday,8
